stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
98, 2016-01 ,LAND ROVER,,Petrol,Sedan,0,,
99, 2016-01 ,LAND ROVER,,Diesel,Sedan,0,,
100, 2016-01 ,M.G.,,Petrol,Sedan,0,,
101, 2016-01 ,MASERATI,,Petrol,Sedan,9,,
102, 2016-01 ,MASERATI,,Diesel,Sedan,0,,
103, 2016-01 ,MAZDA,,Petrol,Sedan,389,,
104, 2016-01 ,MAZDA,,Diesel,Sedan,0,,
105, 2016-01 ,Mclaren,,Petrol,Sedan,0,,
106, 2016-01 ,MERCEDES BENZ,,Petrol,Sedan,438,,
107, 2016-01 ,MERCEDES BENZ,,Diesel,Sedan,0,,
108, 2016-01 ,MERCEDES BENZ,,Others,Sedan,1,,
109, 2016-01 ,MINI,,Petrol,Sedan,0,,
110, 2016-01 ,MINI,,Diesel,Sedan,0,,
111, 2016-01 ,MITSUBISHI,,Petrol,Sedan,120,,
112, 2016-01 ,MITSUBISHI,,Others,Sedan,0,,
113, 2016-01 ,NISSAN,,Petrol,Sedan,223,,
114, 2016-01 ,NISSAN,,Others,Sedan,0,,
115, 2016-01 ,OPEL,,Petrol,Sedan,0,,
116, 2016-01 ,PERODUA,,Petrol,Sedan,0,,
117, 2016-01 ,PEUGEOT,,Petrol,Sedan,1,,
118, 2016-01 ,PEUGEOT,,Diesel,Sedan,3,,
119, 2016-01 ,PORSCHE,,Petrol,Sedan,8,,
120, 2016-01 ,PORSCHE,,Diesel,Sedan,0,,
121, 2016-01 ,RENAULT,,Petrol,Sedan,0,,
122, 2016-01 ,RENAULT,,Diesel,Sedan,36,,
123, 2016-01 ,ROLLS ROYCE,,Petrol,Sedan,1,,
124, 2016-01 ,SSANGYONG,,Petrol,Sedan,0,,
125, 2016-01 ,SSANGYONG,,Diesel,Sedan,0,,
126, 2016-01 ,SUBARU,,Petrol,Sedan,13,,
127, 2016-01 ,SUZUKI,,Petrol,Sedan,0,,
128, 2016-01 ,TESLA,,Others,Sedan,0,,
129, 2016-01 ,TOYOTA,,Petrol,Sedan,599,,
130, 2016-01 ,TOYOTA,,Diesel,Sedan,0,,
131, 2016-01 ,TOYOTA,,Others,Sedan,10,,
132, 2016-01 ,TRIUMPH,,Petrol,Sedan,0,,
133, 2016-01 ,VOLKSWAGEN,,Petrol,Sedan,106,,
134, 2016-01 ,VOLKSWAGEN,,Diesel,Sedan,0,,
135, 2016-01 ,VOLVO,,Petrol,Sedan,45,,
136, 2016-01 ,VOLVO,,Diesel,Sedan,8,,
137, 2016-01 ,ALFA ROMEO,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
138, 2016-01 ,ALPINA,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
139, 2016-01 ,ASTON MARTIN,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
140, 2016-01 ,AUDI,,Petrol,Multi-purpose Vehicle/Station-wagon,1,,
141, 2016-01 ,B.M.W.,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
142, 2016-01 ,B.M.W.,,Diesel,Multi-purpose Vehicle/Station-wagon,74,,
143, 2016-01 ,B.M.W.,,Others,Multi-purpose Vehicle/Station-wagon,0,,
144, 2016-01 ,BENTLEY,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
145, 2016-01 ,CHERY,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
146, 2016-01 ,CHEVROLET,,Petrol,Multi-purpose Vehicle/Station-wagon,12,,
147, 2016-01 ,CHRYSLER,,Diesel,Multi-purpose Vehicle/Station-wagon,2,,
148, 2016-01 ,CITROEN,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
149, 2016-01 ,CITROEN,,Diesel,Multi-purpose Vehicle/Station-wagon,50,,
150, 2016-01 ,DAIHATSU,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
151, 2016-01 ,FERRARI,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
152, 2016-01 ,FIAT,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
153, 2016-01 ,FORD,,Petrol,Multi-purpose Vehicle/Station-wagon,0,,
