stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
10493, 2018-07 ,AUDI,,Petrol,Sedan,107,,
10494, 2018-07 ,AUDI,,Others,Sedan,1,,
10495, 2018-07 ,B.M.W.,,Petrol,Sedan,55,,
10496, 2018-07 ,B.M.W.,,Diesel,Sedan,1,,
10497, 2018-07 ,B.M.W.,,Others,Sedan,3,,
10498, 2018-07 ,BENTLEY,,Petrol,Sedan,,,
10499, 2018-07 ,BYD,,Others,Sedan,,,
10500, 2018-07 ,CHRYSLER,,Petrol,Sedan,2,,
10501, 2018-07 ,CITROEN,,Petrol,Sedan,,,
10502, 2018-07 ,FERRARI,,Petrol,Sedan,,,
10503, 2018-07 ,FORD,,Petrol,Sedan,,,
10504, 2018-07 ,HONDA,,Petrol,Sedan,273,,
10505, 2018-07 ,HONDA,,Others,Sedan,,,
10506, 2018-07 ,HYUNDAI,,Petrol,Sedan,539,,
10507, 2018-07 ,HYUNDAI,,Others,Sedan,,,
10508, 2018-07 ,INFINITI,,Petrol,Sedan,13,,
10509, 2018-07 ,JAGUAR,,Petrol,Sedan,14,,
10510, 2018-07 ,JEEP,,Petrol,Sedan,,,
10511, 2018-07 ,KIA,,Petrol,Sedan,101,,
10512, 2018-07 ,KIA,,Diesel,Sedan,,,
10513, 2018-07 ,LAMBORGHINI,,Petrol,Sedan,,,
10514, 2018-07 ,LAND ROVER,,Petrol,Sedan,,,
10515, 2018-07 ,MASERATI,,Petrol,Sedan,6,,
10516, 2018-07 ,MAXUS,,Petrol,Sedan,,,
10517, 2018-07 ,MAZDA,,Petrol,Sedan,95,,
10518, 2018-07 ,MCLAREN,,Petrol,Sedan,,,
10519, 2018-07 ,MERCEDES BENZ,,Petrol,Sedan,347,,
10520, 2018-07 ,MERCEDES BENZ,,Diesel,Sedan,2,,
10521, 2018-07 ,MERCEDES BENZ,,Others,Sedan,3,,
10522, 2018-07 ,MINI,,Petrol,Sedan,,,
10523, 2018-07 ,MITSUBISHI,,Petrol,Sedan,205,,
10524, 2018-07 ,NISSAN,,Petrol,Sedan,71,,
10525, 2018-07 ,OPEL,,Diesel,Sedan,,,
10526, 2018-07 ,PERODUA,,Petrol,Sedan,1,,
10527, 2018-07 ,PEUGEOT,,Petrol,Sedan,,,
10528, 2018-07 ,PORSCHE,,Petrol,Sedan,9,,
10529, 2018-07 ,PORSCHE,,Others,Sedan,6,,
10530, 2018-07 ,RENAULT,,Petrol,Sedan,,,
10531, 2018-07 ,RENAULT,,Diesel,Sedan,,,
10532, 2018-07 ,RENAULT,,Others,Sedan,,,
10533, 2018-07 ,ROLLS ROYCE,,Petrol,Sedan,2,,
10534, 2018-07 ,SEAT,,Petrol,Sedan,,,
10535, 2018-07 ,SKODA,,Petrol,Sedan,26,,
10536, 2018-07 ,SMART,,Others,Sedan,,,
10537, 2018-07 ,SUBARU,,Petrol,Sedan,7,,
10538, 2018-07 ,SUZUKI,,Petrol,Sedan,,,
10539, 2018-07 ,TOYOTA,,Petrol,Sedan,121,,
10540, 2018-07 ,TOYOTA,,Others,Sedan,28,,
10541, 2018-07 ,TRIUMPH,,Petrol,Sedan,,,
10542, 2018-07 ,VOLKSWAGEN,,Petrol,Sedan,61,,
10543, 2018-07 ,VOLVO,,Petrol,Sedan,14,,
10544, 2018-07 ,ALFA ROMEO,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10545, 2018-07 ,ALPINA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10546, 2018-07 ,ASTON MARTIN,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10547, 2018-07 ,AUDI,,Petrol,Multi-purpose Vehicle/Station-wagon,2,,
10548, 2018-07 ,AUDI,,Others,Multi-purpose Vehicle/Station-wagon,,,
10549, 2018-07 ,B.M.W.,,Petrol,Multi-purpose Vehicle/Station-wagon,58,,
10550, 2018-07 ,B.M.W.,,Diesel,Multi-purpose Vehicle/Station-wagon,,,
10551, 2018-07 ,B.M.W.,,Others,Multi-purpose Vehicle/Station-wagon,1,,
10552, 2018-07 ,BENTLEY,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10553, 2018-07 ,BYD,,Others,Multi-purpose Vehicle/Station-wagon,,,
10554, 2018-07 ,CHRYSLER,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10555, 2018-07 ,CITROEN,,Petrol,Multi-purpose Vehicle/Station-wagon,10,,
10556, 2018-07 ,FERRARI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10557, 2018-07 ,FORD,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10558, 2018-07 ,HONDA,,Petrol,Multi-purpose Vehicle/Station-wagon,122,,
10559, 2018-07 ,HONDA,,Others,Multi-purpose Vehicle/Station-wagon,114,,
10560, 2018-07 ,HYUNDAI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10561, 2018-07 ,HYUNDAI,,Others,Multi-purpose Vehicle/Station-wagon,,,
10562, 2018-07 ,INFINITI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10563, 2018-07 ,JAGUAR,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10564, 2018-07 ,JEEP,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10565, 2018-07 ,KIA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10566, 2018-07 ,KIA,,Diesel,Multi-purpose Vehicle/Station-wagon,165,,
10567, 2018-07 ,LAMBORGHINI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10568, 2018-07 ,LAND ROVER,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10569, 2018-07 ,MASERATI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10570, 2018-07 ,MAXUS,,Petrol,Multi-purpose Vehicle/Station-wagon,1,,
10571, 2018-07 ,MAZDA,,Petrol,Multi-purpose Vehicle/Station-wagon,6,,
10572, 2018-07 ,MCLAREN,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10573, 2018-07 ,MERCEDES BENZ,,Petrol,Multi-purpose Vehicle/Station-wagon,5,,
10574, 2018-07 ,MERCEDES BENZ,,Diesel,Multi-purpose Vehicle/Station-wagon,1,,
10575, 2018-07 ,MERCEDES BENZ,,Others,Multi-purpose Vehicle/Station-wagon,,,
10576, 2018-07 ,MINI,,Petrol,Multi-purpose Vehicle/Station-wagon,9,,
10577, 2018-07 ,MITSUBISHI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10578, 2018-07 ,NISSAN,,Petrol,Multi-purpose Vehicle/Station-wagon,3,,
10579, 2018-07 ,OPEL,,Diesel,Multi-purpose Vehicle/Station-wagon,,,
10580, 2018-07 ,PERODUA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10581, 2018-07 ,PEUGEOT,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10582, 2018-07 ,PORSCHE,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10583, 2018-07 ,PORSCHE,,Others,Multi-purpose Vehicle/Station-wagon,1,,
10584, 2018-07 ,RENAULT,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10585, 2018-07 ,RENAULT,,Diesel,Multi-purpose Vehicle/Station-wagon,72,,
10586, 2018-07 ,RENAULT,,Others,Multi-purpose Vehicle/Station-wagon,,,
10587, 2018-07 ,ROLLS ROYCE,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10588, 2018-07 ,SEAT,,Petrol,Multi-purpose Vehicle/Station-wagon,1,,
10589, 2018-07 ,SKODA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10590, 2018-07 ,SMART,,Others,Multi-purpose Vehicle/Station-wagon,,,
10591, 2018-07 ,SUBARU,,Petrol,Multi-purpose Vehicle/Station-wagon,5,,
10592, 2018-07 ,SUZUKI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10593, 2018-07 ,TOYOTA,,Petrol,Multi-purpose Vehicle/Station-wagon,148,,
10594, 2018-07 ,TOYOTA,,Others,Multi-purpose Vehicle/Station-wagon,156,,
10595, 2018-07 ,TRIUMPH,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10596, 2018-07 ,VOLKSWAGEN,,Petrol,Multi-purpose Vehicle/Station-wagon,37,,
10597, 2018-07 ,VOLVO,,Petrol,Multi-purpose Vehicle/Station-wagon,2,,
10598, 2018-07 ,ALFA ROMEO,,Petrol,Sports Utility Vehicle,,,
10599, 2018-07 ,ALPINA,,Petrol,Sports Utility Vehicle,,,
10600, 2018-07 ,ASTON MARTIN,,Petrol,Sports Utility Vehicle,,,
10601, 2018-07 ,AUDI,,Petrol,Sports Utility Vehicle,55,,
10602, 2018-07 ,AUDI,,Others,Sports Utility Vehicle,,,
10603, 2018-07 ,B.M.W.,,Petrol,Sports Utility Vehicle,141,,
10604, 2018-07 ,B.M.W.,,Diesel,Sports Utility Vehicle,,,
10605, 2018-07 ,B.M.W.,,Others,Sports Utility Vehicle,,,
10606, 2018-07 ,BENTLEY,,Petrol,Sports Utility Vehicle,1,,
10607, 2018-07 ,BYD,,Others,Sports Utility Vehicle,,,
10608, 2018-07 ,CHRYSLER,,Petrol,Sports Utility Vehicle,,,
10609, 2018-07 ,CITROEN,,Petrol,Sports Utility Vehicle,5,,
10610, 2018-07 ,FERRARI,,Petrol,Sports Utility Vehicle,,,
10611, 2018-07 ,FORD,,Petrol,Sports Utility Vehicle,,,
10612, 2018-07 ,HONDA,,Petrol,Sports Utility Vehicle,88,,
10613, 2018-07 ,HONDA,,Others,Sports Utility Vehicle,19,,
10614, 2018-07 ,HYUNDAI,,Petrol,Sports Utility Vehicle,4,,
10615, 2018-07 ,HYUNDAI,,Others,Sports Utility Vehicle,,,
10616, 2018-07 ,INFINITI,,Petrol,Sports Utility Vehicle,1,,
10617, 2018-07 ,JAGUAR,,Petrol,Sports Utility Vehicle,12,,
10618, 2018-07 ,JEEP,,Petrol,Sports Utility Vehicle,4,,
10619, 2018-07 ,KIA,,Petrol,Sports Utility Vehicle,,,
10620, 2018-07 ,KIA,,Diesel,Sports Utility Vehicle,33,,
10621, 2018-07 ,LAMBORGHINI,,Petrol,Sports Utility Vehicle,,,
10622, 2018-07 ,LAND ROVER,,Petrol,Sports Utility Vehicle,30,,
10623, 2018-07 ,MASERATI,,Petrol,Sports Utility Vehicle,3,,
10624, 2018-07 ,MAXUS,,Petrol,Sports Utility Vehicle,,,
10625, 2018-07 ,MAZDA,,Petrol,Sports Utility Vehicle,52,,
10626, 2018-07 ,MCLAREN,,Petrol,Sports Utility Vehicle,,,
10627, 2018-07 ,MERCEDES BENZ,,Petrol,Sports Utility Vehicle,111,,
10628, 2018-07 ,MERCEDES BENZ,,Diesel,Sports Utility Vehicle,,,
10629, 2018-07 ,MERCEDES BENZ,,Others,Sports Utility Vehicle,,,
10630, 2018-07 ,MINI,,Petrol,Sports Utility Vehicle,,,
10631, 2018-07 ,MITSUBISHI,,Petrol,Sports Utility Vehicle,99,,
10632, 2018-07 ,NISSAN,,Petrol,Sports Utility Vehicle,106,,
10633, 2018-07 ,OPEL,,Diesel,Sports Utility Vehicle,,,
10634, 2018-07 ,PERODUA,,Petrol,Sports Utility Vehicle,,,
10635, 2018-07 ,PEUGEOT,,Petrol,Sports Utility Vehicle,29,,
10636, 2018-07 ,PORSCHE,,Petrol,Sports Utility Vehicle,19,,
10637, 2018-07 ,PORSCHE,,Others,Sports Utility Vehicle,,,
10638, 2018-07 ,RENAULT,,Petrol,Sports Utility Vehicle,,,
10639, 2018-07 ,RENAULT,,Diesel,Sports Utility Vehicle,,,
10640, 2018-07 ,RENAULT,,Others,Sports Utility Vehicle,,,
10641, 2018-07 ,ROLLS ROYCE,,Petrol,Sports Utility Vehicle,,,
10642, 2018-07 ,SEAT,,Petrol,Sports Utility Vehicle,4,,
10643, 2018-07 ,SKODA,,Petrol,Sports Utility Vehicle,24,,
10644, 2018-07 ,SMART,,Others,Sports Utility Vehicle,,,
10645, 2018-07 ,SUBARU,,Petrol,Sports Utility Vehicle,322,,
10646, 2018-07 ,SUZUKI,,Petrol,Sports Utility Vehicle,,,
10647, 2018-07 ,TOYOTA,,Petrol,Sports Utility Vehicle,192,,
10648, 2018-07 ,TOYOTA,,Others,Sports Utility Vehicle,3,,
10649, 2018-07 ,TRIUMPH,,Petrol,Sports Utility Vehicle,,,
10650, 2018-07 ,VOLKSWAGEN,,Petrol,Sports Utility Vehicle,19,,
10651, 2018-07 ,VOLVO,,Petrol,Sports Utility Vehicle,62,,
10652, 2018-07 ,ALFA ROMEO,,Petrol,Coupe/ Convertible,,,
10653, 2018-07 ,ALPINA,,Petrol,Coupe/ Convertible,,,
10654, 2018-07 ,ASTON MARTIN,,Petrol,Coupe/ Convertible,2,,
10655, 2018-07 ,AUDI,,Petrol,Coupe/ Convertible,4,,
10656, 2018-07 ,AUDI,,Others,Coupe/ Convertible,,,
10657, 2018-07 ,B.M.W.,,Petrol,Coupe/ Convertible,31,,
10658, 2018-07 ,B.M.W.,,Diesel,Coupe/ Convertible,,,
10659, 2018-07 ,B.M.W.,,Others,Coupe/ Convertible,,,
10660, 2018-07 ,BENTLEY,,Petrol,Coupe/ Convertible,,,
10661, 2018-07 ,BYD,,Others,Coupe/ Convertible,,,
10662, 2018-07 ,CHRYSLER,,Petrol,Coupe/ Convertible,,,
10663, 2018-07 ,CITROEN,,Petrol,Coupe/ Convertible,,,
10664, 2018-07 ,FERRARI,,Petrol,Coupe/ Convertible,3,,
10665, 2018-07 ,FORD,,Petrol,Coupe/ Convertible,1,,
10666, 2018-07 ,HONDA,,Petrol,Coupe/ Convertible,,,
10667, 2018-07 ,HONDA,,Others,Coupe/ Convertible,,,
10668, 2018-07 ,HYUNDAI,,Petrol,Coupe/ Convertible,,,
10669, 2018-07 ,HYUNDAI,,Others,Coupe/ Convertible,,,
10670, 2018-07 ,INFINITI,,Petrol,Coupe/ Convertible,2,,
10671, 2018-07 ,JAGUAR,,Petrol,Coupe/ Convertible,1,,
10672, 2018-07 ,JEEP,,Petrol,Coupe/ Convertible,,,
10673, 2018-07 ,KIA,,Petrol,Coupe/ Convertible,,,
10674, 2018-07 ,KIA,,Diesel,Coupe/ Convertible,,,
10675, 2018-07 ,LAMBORGHINI,,Petrol,Coupe/ Convertible,1,,
10676, 2018-07 ,LAND ROVER,,Petrol,Coupe/ Convertible,1,,
10677, 2018-07 ,MASERATI,,Petrol,Coupe/ Convertible,1,,
10678, 2018-07 ,MAXUS,,Petrol,Coupe/ Convertible,,,
10679, 2018-07 ,MAZDA,,Petrol,Coupe/ Convertible,,,
10680, 2018-07 ,MCLAREN,,Petrol,Coupe/ Convertible,3,,
10681, 2018-07 ,MERCEDES BENZ,,Petrol,Coupe/ Convertible,109,,
10682, 2018-07 ,MERCEDES BENZ,,Diesel,Coupe/ Convertible,,,
10683, 2018-07 ,MERCEDES BENZ,,Others,Coupe/ Convertible,,,
10684, 2018-07 ,MINI,,Petrol,Coupe/ Convertible,5,,
10685, 2018-07 ,MITSUBISHI,,Petrol,Coupe/ Convertible,,,
10686, 2018-07 ,NISSAN,,Petrol,Coupe/ Convertible,,,
10687, 2018-07 ,OPEL,,Diesel,Coupe/ Convertible,,,
10688, 2018-07 ,PERODUA,,Petrol,Coupe/ Convertible,,,
10689, 2018-07 ,PEUGEOT,,Petrol,Coupe/ Convertible,,,
10690, 2018-07 ,PORSCHE,,Petrol,Coupe/ Convertible,12,,
10691, 2018-07 ,PORSCHE,,Others,Coupe/ Convertible,,,
10692, 2018-07 ,RENAULT,,Petrol,Coupe/ Convertible,,,
10693, 2018-07 ,RENAULT,,Diesel,Coupe/ Convertible,,,
10694, 2018-07 ,RENAULT,,Others,Coupe/ Convertible,,,
10695, 2018-07 ,ROLLS ROYCE,,Petrol,Coupe/ Convertible,1,,
10696, 2018-07 ,SEAT,,Petrol,Coupe/ Convertible,,,
10697, 2018-07 ,SKODA,,Petrol,Coupe/ Convertible,,,
10698, 2018-07 ,SMART,,Others,Coupe/ Convertible,1,,
10699, 2018-07 ,SUBARU,,Petrol,Coupe/ Convertible,,,
10700, 2018-07 ,SUZUKI,,Petrol,Coupe/ Convertible,,,
10701, 2018-07 ,TOYOTA,,Petrol,Coupe/ Convertible,2,,
10702, 2018-07 ,TOYOTA,,Others,Coupe/ Convertible,,,
10703, 2018-07 ,TRIUMPH,,Petrol,Coupe/ Convertible,1,,
10704, 2018-07 ,VOLKSWAGEN,,Petrol,Coupe/ Convertible,8,,
10705, 2018-07 ,VOLVO,,Petrol,Coupe/ Convertible,,,
10706, 2018-08 ,ALFA ROMEO,,Petrol,Hatchback,,,
10707, 2018-08 ,ALPINA,,Petrol,Hatchback,,,
10708, 2018-08 ,ASTON MARTIN,,Petrol,Hatchback,,,
10709, 2018-08 ,AUDI,,Petrol,Hatchback,34,,
10710, 2018-08 ,AUDI,,Others,Hatchback,,,
10711, 2018-08 ,B.M.W.,,Petrol,Hatchback,22,,
10712, 2018-08 ,B.M.W.,,Diesel,Hatchback,16,,
10713, 2018-08 ,B.M.W.,,Others,Hatchback,1,,
10714, 2018-08 ,BENTLEY,,Petrol,Hatchback,,,
10715, 2018-08 ,BLUECAR,,Others,Hatchback,36,,
10716, 2018-08 ,BYD,,Others,Hatchback,,,
10717, 2018-08 ,CHEVROLET,,Petrol,Hatchback,,,
10718, 2018-08 ,CHRYSLER,,Petrol,Hatchback,,,
10719, 2018-08 ,CITROEN,,Petrol,Hatchback,,,
10720, 2018-08 ,DATSUN,,Petrol,Hatchback,,,
10721, 2018-08 ,FERRARI,,Petrol,Hatchback,,,
10722, 2018-08 ,FORD,,Petrol,Hatchback,3,,
10723, 2018-08 ,HONDA,,Petrol,Hatchback,222,,
10724, 2018-08 ,HONDA,,Others,Hatchback,42,,
10725, 2018-08 ,HYUNDAI,,Petrol,Hatchback,8,,
10726, 2018-08 ,HYUNDAI,,Others,Hatchback,8,,
10727, 2018-08 ,INFINITI,,Petrol,Hatchback,2,,
10728, 2018-08 ,JAGUAR,,Petrol,Hatchback,,,
10729, 2018-08 ,JEEP,,Petrol,Hatchback,,,
10730, 2018-08 ,KIA,,Petrol,Hatchback,11,,
10731, 2018-08 ,KIA,,Diesel,Hatchback,,,
10732, 2018-08 ,LAMBORGHINI,,Petrol,Hatchback,,,
10733, 2018-08 ,LAND ROVER,,Petrol,Hatchback,,,
10734, 2018-08 ,MASERATI,,Petrol,Hatchback,,,
10735, 2018-08 ,MASERATI,,Diesel,Hatchback,,,
10736, 2018-08 ,MAXUS,,Petrol,Hatchback,,,
10737, 2018-08 ,MAZDA,,Petrol,Hatchback,32,,
10738, 2018-08 ,MCLAREN,,Petrol,Hatchback,,,
10739, 2018-08 ,MERCEDES BENZ,,Petrol,Hatchback,31,,
10740, 2018-08 ,MERCEDES BENZ,,Diesel,Hatchback,,,
10741, 2018-08 ,MERCEDES BENZ,,Others,Hatchback,,,
10742, 2018-08 ,MINI,,Petrol,Hatchback,36,,
10743, 2018-08 ,MITSUBISHI,,Petrol,Hatchback,,,
10744, 2018-08 ,NISSAN,,Petrol,Hatchback,100,,
10745, 2018-08 ,NISSAN,,Others,Hatchback,,,
10746, 2018-08 ,OPEL,,Petrol,Hatchback,,,
10747, 2018-08 ,OPEL,,Diesel,Hatchback,8,,
10748, 2018-08 ,PERODUA,,Petrol,Hatchback,,,
10749, 2018-08 ,PEUGEOT,,Petrol,Hatchback,2,,
10750, 2018-08 ,PORSCHE,,Petrol,Hatchback,,,
10751, 2018-08 ,PORSCHE,,Others,Hatchback,,,
10752, 2018-08 ,RENAULT,,Petrol,Hatchback,5,,
10753, 2018-08 ,RENAULT,,Diesel,Hatchback,,,
10754, 2018-08 ,RENAULT,,Others,Hatchback,,,
10755, 2018-08 ,ROLLS ROYCE,,Petrol,Hatchback,,,
10756, 2018-08 ,SEAT,,Petrol,Hatchback,2,,
10757, 2018-08 ,SKODA,,Petrol,Hatchback,3,,
10758, 2018-08 ,SMART,,Others,Hatchback,,,
10759, 2018-08 ,SSANGYONG,,Diesel,Hatchback,,,
10760, 2018-08 ,SUBARU,,Petrol,Hatchback,1,,
10761, 2018-08 ,SUZUKI,,Petrol,Hatchback,16,,
10762, 2018-08 ,TESLA,,Others,Hatchback,1,,
10763, 2018-08 ,TOYOTA,,Petrol,Hatchback,11,,
10764, 2018-08 ,TOYOTA,,Diesel,Hatchback,,,
10765, 2018-08 ,TOYOTA,,Others,Hatchback,6,,
10766, 2018-08 ,TRIUMPH,,Petrol,Hatchback,,,
10767, 2018-08 ,VOLKSWAGEN,,Petrol,Hatchback,120,,
10768, 2018-08 ,VOLVO,,Petrol,Hatchback,23,,
10769, 2018-08 ,ALFA ROMEO,,Petrol,Sedan,2,,
10770, 2018-08 ,ALPINA,,Petrol,Sedan,,,
10771, 2018-08 ,ASTON MARTIN,,Petrol,Sedan,,,
10772, 2018-08 ,AUDI,,Petrol,Sedan,162,,
10773, 2018-08 ,AUDI,,Others,Sedan,2,,
10774, 2018-08 ,B.M.W.,,Petrol,Sedan,99,,
10775, 2018-08 ,B.M.W.,,Diesel,Sedan,1,,
10776, 2018-08 ,B.M.W.,,Others,Sedan,10,,
10777, 2018-08 ,BENTLEY,,Petrol,Sedan,3,,
10778, 2018-08 ,BLUECAR,,Others,Sedan,,,
10779, 2018-08 ,BYD,,Others,Sedan,,,
10780, 2018-08 ,CHEVROLET,,Petrol,Sedan,,,
10781, 2018-08 ,CHRYSLER,,Petrol,Sedan,,,
10782, 2018-08 ,CITROEN,,Petrol,Sedan,,,
10783, 2018-08 ,DATSUN,,Petrol,Sedan,,,
10784, 2018-08 ,FERRARI,,Petrol,Sedan,,,
10785, 2018-08 ,FORD,,Petrol,Sedan,,,
10786, 2018-08 ,HONDA,,Petrol,Sedan,247,,
10787, 2018-08 ,HONDA,,Others,Sedan,6,,
10788, 2018-08 ,HYUNDAI,,Petrol,Sedan,604,,
10789, 2018-08 ,HYUNDAI,,Others,Sedan,,,
10790, 2018-08 ,INFINITI,,Petrol,Sedan,5,,
10791, 2018-08 ,JAGUAR,,Petrol,Sedan,15,,
10792, 2018-08 ,JEEP,,Petrol,Sedan,,,
10793, 2018-08 ,KIA,,Petrol,Sedan,198,,
10794, 2018-08 ,KIA,,Diesel,Sedan,,,
10795, 2018-08 ,LAMBORGHINI,,Petrol,Sedan,,,
10796, 2018-08 ,LAND ROVER,,Petrol,Sedan,,,
10797, 2018-08 ,MASERATI,,Petrol,Sedan,15,,
10798, 2018-08 ,MASERATI,,Diesel,Sedan,,,
10799, 2018-08 ,MAXUS,,Petrol,Sedan,,,
10800, 2018-08 ,MAZDA,,Petrol,Sedan,140,,
10801, 2018-08 ,MCLAREN,,Petrol,Sedan,,,
10802, 2018-08 ,MERCEDES BENZ,,Petrol,Sedan,248,,
10803, 2018-08 ,MERCEDES BENZ,,Diesel,Sedan,,,
10804, 2018-08 ,MERCEDES BENZ,,Others,Sedan,,,
10805, 2018-08 ,MINI,,Petrol,Sedan,,,
10806, 2018-08 ,MITSUBISHI,,Petrol,Sedan,82,,
10807, 2018-08 ,NISSAN,,Petrol,Sedan,158,,
10808, 2018-08 ,NISSAN,,Others,Sedan,,,
10809, 2018-08 ,OPEL,,Petrol,Sedan,,,
10810, 2018-08 ,OPEL,,Diesel,Sedan,,,
10811, 2018-08 ,PERODUA,,Petrol,Sedan,,,
10812, 2018-08 ,PEUGEOT,,Petrol,Sedan,,,
10813, 2018-08 ,PORSCHE,,Petrol,Sedan,11,,
10814, 2018-08 ,PORSCHE,,Others,Sedan,2,,
10815, 2018-08 ,RENAULT,,Petrol,Sedan,,,
10816, 2018-08 ,RENAULT,,Diesel,Sedan,,,
10817, 2018-08 ,RENAULT,,Others,Sedan,,,
10818, 2018-08 ,ROLLS ROYCE,,Petrol,Sedan,1,,
10819, 2018-08 ,SEAT,,Petrol,Sedan,,,
10820, 2018-08 ,SKODA,,Petrol,Sedan,19,,
10821, 2018-08 ,SMART,,Others,Sedan,,,
10822, 2018-08 ,SSANGYONG,,Diesel,Sedan,,,
10823, 2018-08 ,SUBARU,,Petrol,Sedan,15,,
10824, 2018-08 ,SUZUKI,,Petrol,Sedan,,,
10825, 2018-08 ,TESLA,,Others,Sedan,,,
10826, 2018-08 ,TOYOTA,,Petrol,Sedan,176,,
10827, 2018-08 ,TOYOTA,,Diesel,Sedan,,,
10828, 2018-08 ,TOYOTA,,Others,Sedan,38,,
10829, 2018-08 ,TRIUMPH,,Petrol,Sedan,,,
10830, 2018-08 ,VOLKSWAGEN,,Petrol,Sedan,18,,
10831, 2018-08 ,VOLVO,,Petrol,Sedan,12,,
10832, 2018-08 ,ALFA ROMEO,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10833, 2018-08 ,ALPINA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10834, 2018-08 ,ASTON MARTIN,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10835, 2018-08 ,AUDI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10836, 2018-08 ,AUDI,,Others,Multi-purpose Vehicle/Station-wagon,,,
10837, 2018-08 ,B.M.W.,,Petrol,Multi-purpose Vehicle/Station-wagon,47,,
10838, 2018-08 ,B.M.W.,,Diesel,Multi-purpose Vehicle/Station-wagon,,,
10839, 2018-08 ,B.M.W.,,Others,Multi-purpose Vehicle/Station-wagon,,,
10840, 2018-08 ,BENTLEY,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10841, 2018-08 ,BLUECAR,,Others,Multi-purpose Vehicle/Station-wagon,,,
10842, 2018-08 ,BYD,,Others,Multi-purpose Vehicle/Station-wagon,,,
10843, 2018-08 ,CHEVROLET,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10844, 2018-08 ,CHRYSLER,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10845, 2018-08 ,CITROEN,,Petrol,Multi-purpose Vehicle/Station-wagon,16,,
10846, 2018-08 ,DATSUN,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10847, 2018-08 ,FERRARI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10848, 2018-08 ,FORD,,Petrol,Multi-purpose Vehicle/Station-wagon,2,,
10849, 2018-08 ,HONDA,,Petrol,Multi-purpose Vehicle/Station-wagon,123,,
10850, 2018-08 ,HONDA,,Others,Multi-purpose Vehicle/Station-wagon,163,,
10851, 2018-08 ,HYUNDAI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10852, 2018-08 ,HYUNDAI,,Others,Multi-purpose Vehicle/Station-wagon,,,
10853, 2018-08 ,INFINITI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10854, 2018-08 ,JAGUAR,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10855, 2018-08 ,JEEP,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10856, 2018-08 ,KIA,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10857, 2018-08 ,KIA,,Diesel,Multi-purpose Vehicle/Station-wagon,24,,
10858, 2018-08 ,LAMBORGHINI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10859, 2018-08 ,LAND ROVER,,Petrol,Multi-purpose Vehicle/Station-wagon,1,,
10860, 2018-08 ,MASERATI,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10861, 2018-08 ,MASERATI,,Diesel,Multi-purpose Vehicle/Station-wagon,,,
10862, 2018-08 ,MAXUS,,Petrol,Multi-purpose Vehicle/Station-wagon,4,,
10863, 2018-08 ,MAZDA,,Petrol,Multi-purpose Vehicle/Station-wagon,2,,
10864, 2018-08 ,MCLAREN,,Petrol,Multi-purpose Vehicle/Station-wagon,,,
10865, 2018-08 ,MERCEDES BENZ,,Petrol,Multi-purpose Vehicle/Station-wagon,12,,
